    beb7    be96    bf4b    3dbd    3f21    3e3d    3f3f    3bf4    3bd1
    beef    beaf    bf71    3dbd    3f21    3e3d    3f3f    3c62    3cb7
    becd    be9c    bf51    3dbd    3f21    3e3d    3f3f    3a8b    bbae
    bee4    be9e    bf63    3dbd    3f21    3e3d    3f3f    bcbf    bc3f
    bed8    be99    bf59    3dbd    3f21    3e3d    3f3f    3bae    bcc8
    bee0    bea1    bf61    3dbd    3f21    3e3d    3f3f    bcd1    bd02
    bed6    bea1    bf5e    3dbd    3f21    3e3d    3f3f    3c0b    3c94
    bec3    be98    bf50    3dbd    3f21    3e3d    3f3f    3c51    3c3f
    bef0    bea6    bf6a    3dbd    3f21    3e3d    3f3f    bc2e    bcbf
    bec4    be96    bf50    3dbd    3f21    3e3d    3f3f    3bd1    3c2e
    bed4    be9f    bf5c    3dbd    3f21    3e3d    3f3f    bbd1    3bae
    bedb    bea7    bf60    3dbd    3f21    3e3d    3f3f    3c3f    3b51
    bed2    be9b    bf59    3dbd    3f21    3e3d    3f3f    bbd1    3b0b
    bee6    bea9    bf68    3dbd    3f21    3e3d    3f3f    3b8b    3b8b
    bed1    bea0    bf57    3dbd    3f21    3e3d    3f3f    3c3f    3a8b
    bee5    bea4    bf63    3dbd    3f21    3e3d    3f3f    bc2e    bbae
    becf    bea3    bf5c    3dbd    3f21    3e3d    3f3f    3c62    3c82
    bed3    be9c    bf56    3dbd    3f21    3e3d    3f3f    bbae    bc62
    bee2    bea4    bf63    3dbd    3f21    3e3d    3f3f    bb51    ba8b
    bed0    bea0    bf5a    3dbd    3f21    3e3d    3f3f    3c0b    3bae
    bee1    bea6    bf62    3dbd    3f21    3e3d    3f3f    bbae    3b8b
    bed6    be9f    bf5c    3dbd    3f21    3e3d    3f3f    3bd1    3bae
    bedc    be9f    bf5e    3dbd    3f21    3e3d    3f3f    bbae    bbf4
    bedb    bea1    bf60    3dbd    3f21    3e3d    3f3f    3a8b    3bae
    bed9    bea3    bf5e    3dbd    3f21    3e3d    3f3f    bb0b    3b51
    bede    bea2    bf60    3dbd    3f21    3e3d    3f3f    bbae    bbae
    bed4    bea0    bf5c    3dbd    3f21    3e3d    3f3f    3bd1    3bd1
    bedc    bea2    bf60    3dbd    3f21    3e3d    3f3f    bbd1    0000
    bedb    bea1    bf5f    3dbd    3f21    3e3d    3f3f    ba8b    ba8b
    bed8    bea1    bf5c    3dbd    3f21    3e3d    3f3f    3b51    3a8b
    beda    bea1    bf5f    3dbd    3f21    3e3d    3f3f    bb8b    3b8b
    bed9    bea2    bf5e    3dbd    3f21    3e3d    3f3f    3bd1    ba8b
