acc_x_1,acc_y_1,acc_z_1,acc_x_2,acc_y_2,acc_z_2,acc_x_3,acc_y_3,acc_z_3,acc_x_4,acc_y_4,acc_z_4,acc_x_5,acc_y_5,acc_z_5,acc_x_6,acc_y_6,acc_z_6
16197,48922,16002,16149,48971,48796,15834,49003,48862,16084,48985,16085,48971,48568,16148,48912,48654,16207
16183,48918,15970,16135,48970,48792,15594,48996,48849,16047,48966,16082,48968,48467,16146,48912,48659,16206
16201,48931,15955,16151,48965,48836,15833,48997,48895,16077,48986,16078,48972,48565,16150,48917,48642,16206
16193,48920,15943,16145,48954,48825,15825,48988,48877,16061,48972,16083,48967,48506,16145,48911,48661,16208
16201,48923,15898,16154,48952,48856,15826,48997,48897,16077,48955,16087,48962,48436,16154,48916,48666,16217
16253,48969,48456,16188,48962,48937,15915,48991,48983,16141,49009,16017,48983,48708,16160,48914,48700,16252
16122,48946,48769,16022,48892,48949,48532,48878,48971,15906,49001,15408,48967,48745,15955,48661,48652,16194
16019,48958,48924,15798,48806,49017,48777,48773,49029,48581,49040,48773,49021,48862,15806,48718,15578,16224
47744,48975,48990,48797,48521,49041,48875,15950,49025,48640,49013,48878,48991,48927,48661,48802,15892,16270
48240,48922,48968,48745,48306,49010,48835,15934,48987,48712,48962,48858,48933,48902,48685,48818,15896,16229
48132,48922,48976,48705,15184,49023,48832,15927,49006,48794,48978,48863,48981,48909,48630,48786,15963,16250
16033,48933,48954,15664,48617,49025,48689,48300,49019,48168,49005,48821,48983,48901,15762,48822,15766,16245
16025,48985,48923,15725,48847,49018,48815,48742,49016,48664,49019,48777,48989,48867,15694,48802,15408,16242
16102,49012,48902,15966,48934,49019,48793,48908,49035,15639,49058,48812,49017,48914,15452,48778,15847,16252
16033,48946,48882,15877,48808,49001,48770,48793,48985,16027,49023,47888,48955,48916,48665,48703,15855,16257
48592,48951,48894,48751,48811,48959,48909,48676,48913,48834,48936,15916,48957,48806,48745,48695,15837,16242
15982,48985,48853,15745,48907,48984,48835,48907,48974,15809,49033,16004,49003,48916,48689,48525,15981,16252
15810,48988,48847,48603,48900,48973,48899,48858,48945,48742,49005,15959,48979,48879,48771,48338,15958,16252
15726,48971,48879,48485,48844,48976,48879,48830,48944,48722,49001,16045,49017,48899,48708,48216,15964,16264
15412,48952,48927,48674,48805,48998,48923,48797,48957,48808,49001,15952,48992,48879,48786,48404,16048,16252
15980,49016,48877,48450,48931,48997,48918,48916,48957,48720,49012,16107,49016,48822,48701,48465,15959,16260
15986,48989,48832,15436,48917,48968,48898,48908,48943,48649,48998,16084,48984,48810,48718,15673,15892,16251
16102,49009,48794,15994,48969,48979,48874,48995,48968,48798,49036,16160,49040,48817,48212,15747,15749,16223
15900,49006,48871,48592,48913,48983,48900,48907,48938,48669,48983,16070,48975,48811,48780,48535,15929,16244
15920,48996,48911,48455,48886,49008,48896,48888,48970,48136,49008,16043,48984,48877,48762,48641,16021,16248
15854,48982,48899,48556,48863,48988,48904,48863,48949,48673,49016,16103,48984,48840,48768,48571,16000,16242
15896,48931,48914,47776,48793,48995,48887,48800,48960,48674,49014,16072,49002,48902,48724,48300,16029,16264
15833,48976,48890,48586,48842,48989,48910,48809,48943,48725,48984,16027,48986,48837,48763,48420,15994,16247
15860,48997,48874,48578,48909,48992,48922,48888,48943,48706,48986,16071,48984,48794,48757,48417,15930,16248
15863,48993,48867,48478,48908,48985,48909,48898,48938,48725,48986,16124,49016,48799,48657,48393,15880,16259
