acc_x_1,acc_y_1,acc_z_1,acc_x_2,acc_y_2,acc_z_2,acc_x_3,acc_y_3,acc_z_3,acc_x_4,acc_y_4,acc_z_4,acc_x_5,acc_y_5,acc_z_5,acc_x_6,acc_y_6,acc_z_6
16144,48900,16160,16051,48929,16179,15927,48956,16163,15877,48963,16162,48971,48818,16101,48860,48136,16230
16143,48900,16161,16050,48930,16178,15923,48958,16163,15875,48963,16162,48972,48818,16099,48859,48156,16231
16143,48900,16161,16047,48930,16178,15925,48957,16163,15865,48964,16162,48972,48821,16098,48858,48136,16232
16143,48899,16161,16047,48930,16179,15923,48957,16163,15868,48963,16162,48972,48819,16097,48858,48132,16231
16144,48899,16161,16049,48929,16180,15926,48957,16163,15875,48964,16162,48973,48818,16099,48860,48192,16232
16142,48900,16160,16047,48930,16179,15924,48957,16163,15864,48964,16161,48972,48821,16097,48857,48008,16231
16143,48901,16161,16049,48930,16179,15925,48958,16163,15872,48963,16162,48972,48820,16098,48858,48056,16230
16142,48900,16160,16048,48930,16178,15927,48957,16162,15872,48963,16161,48971,48820,16098,48859,48164,16230
16142,48900,16161,16047,48930,16180,15922,48956,16163,15866,48964,16162,48973,48820,16097,48855,48140,16231
16142,48901,16161,16046,48930,16179,15919,48957,16163,15861,48965,16162,48973,48820,16097,48858,48032,16232
16128,48905,16162,16057,48930,16179,15881,48958,16164,15884,48964,16160,48971,48827,16099,48850,48112,16232
16143,48899,16156,16049,48930,16173,15930,48958,16157,15888,48970,16160,48969,48807,16086,48848,48136,16233
16134,48915,16155,16024,48941,16178,15922,48967,16159,15799,48965,16155,48974,48789,16088,48860,48380,16230
16156,48899,16143,16033,48939,16165,15903,48965,16152,15764,48972,16155,48988,48814,16079,48850,48316,16236
16156,48910,16145,16095,48946,16159,16015,48975,16146,15925,48981,16161,48989,48795,16105,48854,48519,16221
16143,48920,16144,16058,48957,16151,15973,48978,16132,15881,48978,16152,48985,48761,16085,48847,48533,16228
16136,48910,16138,16045,48945,16141,15945,48965,16126,15821,48960,16149,48988,48701,16074,48848,48570,16229
16130,48917,16138,16024,48965,16164,15875,48973,16140,15711,48973,16157,48990,48782,16083,48854,48568,16239
16172,48925,16139,16124,48968,16144,16037,48991,16133,16010,49005,16161,48991,48846,16126,48865,48559,16229
16123,48932,16132,16010,48955,16139,15846,48964,16131,15636,48951,16168,48975,48789,16053,48872,48575,16227
16135,48932,16134,16034,48962,16141,15909,48976,16132,15764,48963,16157,48981,48820,16072,48866,48569,16231
16132,48929,16128,16032,48957,16135,15910,48970,16125,15800,48966,16149,48971,48828,16065,48856,48560,16230
16142,48941,16129,16045,48971,16138,15922,48984,16128,15846,48978,16149,48974,48827,16083,48890,48540,16223
16147,48925,16122,16064,48959,16135,15973,48976,16126,15906,48973,16150,48981,48804,16100,48878,48607,16226
16154,48921,16116,16084,48958,16133,16007,48977,16120,15938,48972,16146,48976,48801,16114,48886,48644,16224
16152,48937,16119,16068,48969,16132,15977,48982,16113,15907,48972,16139,48969,48795,16104,48901,48620,16217
16166,48930,16106,16102,48969,16129,16023,48987,16113,15979,48982,16146,48972,48803,16133,48905,48641,16213
16169,48919,16070,16108,48969,16112,16031,48986,16100,15994,48978,16144,48971,48805,16135,48902,48651,16215
16198,48911,16034,16159,48960,16067,16112,48988,16063,16075,48982,16133,48958,48830,16152,48899,48646,16212
16166,48924,16077,16099,48958,16108,16017,48972,16096,15965,48956,16143,48961,48739,16116,48903,48659,16212
16184,48929,16114,16132,48974,16136,16047,48998,16128,15994,48986,16165,48993,48769,16129,48880,48624,16224
16161,48913,16089,16098,48954,16111,16018,48974,16098,15944,48962,16155,48986,48723,16109,48872,48599,16225
16145,48929,16122,16044,48968,16138,15933,48981,16125,15798,48960,16160,48985,48613,16065,48864,48624,16223
16142,48912,16103,16060,48948,16125,15953,48965,16115,15837,48950,16156,48993,48665,16083,48841,48619,16228
16136,48919,16135,16036,48960,16157,15881,48983,16154,15646,48953,16172,48993,48683,16064,48857,48540,16224
16153,48903,16125,16085,48923,16139,16006,48940,16133,15898,48930,16157,48973,48768,16090,48868,48008,16227
16130,48867,16133,16038,48897,16151,15921,48908,16149,15708,48900,16171,48978,48609,16066,48862,48288,16231
16148,48928,16135,16052,48948,16148,15931,48960,16136,15838,48950,16166,48972,48709,16080,48890,15540,16233
16161,48911,16139,16078,48946,16157,15976,48973,16144,15916,48963,16165,48980,48782,16096,48864,15574,16236
16157,48912,16139,16022,48963,16171,15887,48980,16145,15809,48960,16162,48981,48791,16094,48865,15516,16223
16166,48906,16158,16109,48937,16163,16035,48960,16143,15965,48946,16169,48984,48768,16092,48860,15200,16234
16058,48932,16052,15902,48944,16056,15592,48941,16031,15368,48919,16059,48920,48704,15936,48831,15751,16205
16138,48955,16132,16036,49010,16157,15763,49043,16160,48290,49052,16197,48992,48807,16037,48713,14848,16223
16078,48938,16125,15995,48961,16149,15762,48971,16131,15651,48972,16138,48986,48816,16036,48826,15436,16247
16163,48858,16133,16096,48896,16138,16021,48924,16133,15959,48939,16141,48964,48776,16095,48823,48540,16202
16144,48911,16146,16041,48941,16169,15913,48967,16153,15862,48973,16151,48974,48802,16093,48843,48188,16229
16109,48932,16167,15933,48944,16184,15104,48961,16171,47744,48965,16167,48988,48722,16077,48890,48200,16231
16144,48899,16152,16027,48937,16175,15823,48961,16164,15802,48966,16159,48989,48774,16080,48837,48286,16234
16137,48896,16167,16093,48925,16167,15924,48955,16165,15757,48959,16169,48986,48772,16087,48833,48416,16240
16159,48907,16148,16060,48943,16167,15939,48966,16153,15921,48969,16153,48965,48800,16128,48899,48156,16220
16151,48899,16153,16060,48934,16175,15910,48955,16165,15809,48958,16168,48975,48755,16113,48883,48290,16228
16153,48913,16140,16055,48945,16162,15921,48965,16147,15875,48970,16150,48967,48801,16121,48896,15804,16223
16143,48912,16149,16033,48946,16168,15873,48969,16153,15786,48978,16157,48980,48792,16098,48880,15700,16228
16142,48907,16155,16041,48939,16171,15900,48962,16157,15795,48969,16158,48982,48777,16098,48851,15564,16229
