acc_x_1,acc_y_1,acc_z_1,acc_x_2,acc_y_2,acc_z_2,acc_x_3,acc_y_3,acc_z_3,acc_x_4,acc_y_4,acc_z_4,acc_x_5,acc_y_5,acc_z_5,acc_x_6,acc_y_6,acc_z_6
16159,48967,16028,16098,49003,48819,48212,49007,48909,15955,49025,16057,49015,48294,16077,48806,48617,16240
16149,48929,16033,16085,48963,48777,15649,48960,48865,15950,48978,16048,48997,15752,16057,48802,48650,16240
16145,48967,16034,16079,48999,48813,15120,48981,48921,15966,49010,16053,49007,15825,16074,48802,48649,16238
16155,48963,15973,16097,48986,48845,15502,48974,48942,15989,49016,16034,49009,15841,16093,48804,48642,16254
16208,48931,48446,16158,48952,48895,15959,48945,48959,16074,49010,15930,48988,48494,16140,48897,15626,16240
16165,48860,48452,16133,48866,48856,15956,48905,48903,16046,48943,15998,48954,15905,16133,48864,48718,16207
16246,48645,48615,16229,48808,48788,16153,48907,48894,16181,48908,15835,48904,15807,16201,48946,48760,16184
16349,16159,48825,16355,16056,48722,16353,48748,48896,16367,48659,48914,16047,48913,16314,49058,48766,15750
15881,15935,15749,15906,15751,15923,15848,15574,15949,15669,16005,15904,15862,16027,15892,48796,48806,15848
48959,48828,48999,48978,16007,48946,49004,16170,48824,49060,15618,48825,48791,16027,48949,48691,15741,16058
16339,48718,48790,16328,48821,48864,16287,48953,48993,16331,48972,48886,48376,48968,16277,49048,15773,15955
16338,15938,48839,16330,15797,48862,16300,48809,48953,16300,48834,48820,48512,48912,16301,49072,48399,16047
48746,15773,48615,48770,15878,15699,48749,15952,15912,48800,16003,15578,15947,16005,48750,48620,48722,48561
16318,16242,49157,16334,16289,49085,16318,16246,49124,16192,48933,49170,48943,49091,16082,49031,16058,15852
16291,48613,48733,16278,48627,48815,16259,48830,48925,16286,48847,48827,48402,48913,16234,49026,15908,16004
16300,16122,48838,16310,16060,48720,16311,48577,48853,16320,48380,48812,16024,48913,16292,49073,48372,15804
16037,15961,48776,16025,16002,48688,16008,15974,48739,15934,15683,48836,15512,48723,48445,48688,48252,15673
16240,16159,49182,16256,16292,49119,16173,16285,49121,48713,48893,49167,48929,49024,48579,49031,15760,16007
16257,48596,48818,16241,48549,48841,16203,48798,48916,16261,48868,48802,48618,48897,16225,49027,15900,15916
16309,16030,48864,16312,16014,48837,16306,48552,48930,16316,48656,48900,15805,48958,16294,49069,15778,15903
16214,16100,48869,16224,16102,48736,16232,15961,48816,16220,15784,48896,16009,48891,16156,48979,48421,48551
49115,48970,48883,49129,48698,48878,49149,16099,15685,49161,48514,15953,48836,16210,49067,16154,15785,15872
16262,16116,48879,16283,15879,48763,16245,48897,48868,16234,48931,15750,48841,48475,16307,49071,48635,15484
16238,15960,48841,16252,15949,48787,16231,48580,48872,16243,48699,48781,48286,48863,16239,49030,15949,15917
16357,16210,48916,16376,16165,48798,16377,15614,48945,16378,48631,48946,16008,49025,16326,49096,15724,48570
49073,48906,48770,49079,48666,48673,49088,16034,15999,49108,15882,15998,48608,16175,49025,16109,15896,15072
16639,16353,16083,16598,16510,49166,16620,16512,49222,16587,16301,49231,16481,49239,16401,49298,16368,49036
16247,48512,48788,16263,48657,48829,16208,48890,48944,16231,48989,48709,48911,48854,16227,48947,16006,15915
16324,16074,48795,16331,15971,48724,16321,48775,48902,16335,48734,48791,15844,48920,16312,49087,15621,15893
16339,16148,48899,16347,16100,48814,16342,48462,48944,16361,48664,48940,16005,49002,16300,49090,15689,48487
49192,48878,49044,49186,16081,48961,49185,16273,48172,49221,15775,48661,48929,16192,49147,16282,16032,15706
16356,16166,48822,16376,16026,48685,16355,48801,48901,16351,48712,48683,48344,48898,16346,49101,48104,15969
16243,16009,48805,16259,15921,48731,16243,48662,48843,16256,48673,48744,48148,48857,16243,49026,15931,15904
16353,16147,48871,16367,16046,48795,16352,48773,48948,16358,48830,48875,48318,48963,16332,49095,15590,15908
49027,49028,48901,49073,48839,48941,49097,16013,48805,49097,48810,48794,48784,16026,49075,16144,16092,48663
16490,16399,48934,16520,16287,15958,16523,48800,48944,16520,15639,48953,15935,49084,16493,49234,48729,16119
16182,48664,48785,16190,48724,48832,16108,48866,48904,16134,48929,15424,48889,48684,16204,48974,15955,16026
16391,16140,48872,16398,15994,48812,16386,48875,48978,16394,48890,48867,48232,48988,16376,49129,15703,15966
48846,48672,48894,48919,16003,48859,48937,16156,48773,48967,15749,48928,15647,48450,49026,16106,15800,48695
16336,48619,49185,16339,16215,49176,16257,16163,49196,16086,49094,49186,49040,49129,16063,49037,16084,16015
16293,15690,48652,16292,48644,48719,16270,48888,48892,16286,48847,48618,48642,48837,16270,49043,15816,16060
16329,16037,48787,16337,15797,48771,16317,48849,48918,16332,48814,48718,48538,48915,16319,49084,15592,16038
16090,16201,48985,16093,16262,48892,16148,16259,48916,16044,15982,49060,15960,48994,48884,15784,15903,48609
16581,16483,49153,16586,16466,49002,16605,16311,49153,16602,16220,49237,16305,49284,16530,49301,16160,15504
16281,48446,48802,16284,48688,48858,16242,48908,48946,16267,48947,48550,48849,48865,16282,49041,15991,16076
16333,16180,48966,16348,16172,48873,16344,15911,48967,16334,48644,48973,16034,49002,16300,49084,15834,48642
