acc_x_1,acc_y_1,acc_z_1,acc_x_2,acc_y_2,acc_z_2,acc_x_3,acc_y_3,acc_z_3,acc_x_4,acc_y_4,acc_z_4,acc_x_5,acc_y_5,acc_z_5,acc_x_6,acc_y_6,acc_z_6
15879,48927,48951,48344,48847,48993,48906,48863,48942,48573,49019,48504,48902,48964,48809,15584,15933,16244
16050,48984,48955,15917,48946,49015,48913,48982,48968,15416,49070,15952,48983,49003,48723,0,15916,16260
16030,48948,48926,15805,48898,48966,48828,48904,48908,48548,48949,15905,48900,48908,48620,48780,48641,16245
15935,48862,48923,15695,48776,48956,48797,48799,48909,48332,48932,15008,48843,48928,48716,48573,15572,16243
15884,48925,48981,48464,48817,49022,48905,48832,48967,48503,49023,48616,48877,48991,48821,48578,16038,16260
15790,48944,48989,48647,48847,49023,48926,48841,48969,48614,49029,48661,48848,48980,48853,48571,16071,16244
15898,48937,48972,48156,48875,49002,48905,48899,48951,48352,49009,48580,48882,48955,48782,48655,16009,16230
15916,48910,48966,15444,48820,48993,48898,48868,48953,15739,49027,48442,48910,48969,48779,48661,16007,16243
15954,48930,48984,15498,48832,49014,48909,48877,48955,48136,49027,15464,48918,48973,48763,48657,15979,16249
15983,48927,48978,15708,48825,48989,48900,48907,48925,16006,49042,15980,48934,48977,48659,48682,15908,16242
16104,48979,48934,15907,48919,49004,48881,48935,48948,48164,49029,15881,48931,48963,48654,48622,15757,16253
16130,48978,48912,16069,48982,48967,48885,49038,48927,15830,49081,16147,49034,48960,15586,48642,14912,16247
16145,48890,48912,16066,48811,48960,15538,48899,48934,16114,48922,15280,48822,48961,15803,48774,48449,16260
15763,48885,48944,48515,48779,48968,48868,48769,48911,48647,48938,48535,48865,48924,48784,48581,15954,16249
48605,48935,48986,48790,48815,49017,48962,48745,48940,48819,48994,48686,48888,48948,48905,15773,16091,16254
48080,48917,48987,48685,48791,49018,48923,48772,48956,48687,48999,48711,48852,48972,48860,15626,16099,16250
15858,48933,48980,48294,48864,49008,48914,48897,48959,48476,49030,48507,48913,48979,48805,47616,16084,16253
