acc_x_1,acc_y_1,acc_z_1,acc_x_2,acc_y_2,acc_z_2,acc_x_3,acc_y_3,acc_z_3,acc_x_4,acc_y_4,acc_z_4,acc_x_5,acc_y_5,acc_z_5,acc_x_6,acc_y_6,acc_z_6
16258,15898,15771,16262,48651,15668,16232,48915,48674,16260,48703,15949,15647,16022,16243,48994,48783,16058
16261,15899,48649,16265,48604,48595,16218,48914,48793,16265,48801,15893,48513,15943,16272,49020,48688,16104
16316,16019,48548,16321,48547,48556,16289,48961,48850,16317,48861,15779,15991,15951,16302,49047,48779,16068
16316,16120,48290,16330,15877,48120,16318,48909,48830,16340,48694,48605,16132,16026,16275,49037,48854,15966
16275,16137,48486,16287,16010,48192,16283,48764,48761,16282,15738,48634,16061,16110,16204,49001,48893,15953
16051,16001,15976,16056,15797,16025,16030,48528,16013,15991,16016,15960,48556,16152,15748,48779,48916,15960
48817,48528,16100,48840,48429,16130,48785,15954,16158,48867,16147,16036,48541,16168,48916,15859,48917,15882
49025,15872,15940,49019,16018,16095,48958,16177,16197,49039,16229,16019,48768,16188,48932,15868,48897,15945
48529,48795,48801,48746,48710,48797,48894,15740,48645,48953,48428,15649,48872,16025,48777,48778,48909,16164
16330,48806,48934,16308,48899,49019,16158,48998,49063,16215,49073,48823,48837,48889,16250,48904,48833,16170
16403,48765,48907,16386,48959,49009,16258,49123,49057,16301,49092,15895,48920,48898,16361,49065,48521,16192
16246,48779,48684,16223,48878,48783,16131,48963,48871,16203,48925,15927,48764,48304,16230,48974,48795,16141
16301,48617,48720,16298,48858,48822,16229,49009,48930,16282,48977,15924,48842,48757,16308,48994,48799,16183
16377,48692,48790,16366,48908,48902,16295,49052,49021,16351,49040,48497,48298,48817,16339,49051,48810,16125
16262,15548,48703,16246,48634,48768,16185,48844,48840,16214,48735,48416,15352,15894,16161,48946,48877,16135
15623,48753,16014,48541,48796,16017,48711,48717,16061,48732,15919,16110,48827,16164,48645,48651,48906,16048
48797,48490,16098,48811,48628,16125,48800,15460,16162,48860,16083,16141,48862,16161,48784,15860,48905,16037
48814,48666,15999,48846,48557,16022,48818,15885,16101,48858,16082,16024,48648,16138,48842,48417,48860,15912
15769,48743,48840,48640,48482,48822,48776,15944,48550,48859,16019,48314,48791,15988,48606,48913,48890,16237
16410,48998,48896,16390,49078,48948,16359,49312,49037,16586,49294,16378,48410,49046,16384,49081,48551,16269
16244,48804,48522,16218,48904,48714,16102,48987,48793,16193,48918,16069,48911,48654,16238,48935,48854,16216
16241,48881,48446,16212,48936,48751,16085,49005,48841,16179,48960,16047,48879,48697,16226,48932,48777,16178
16303,48873,48587,16287,48960,48806,16182,49049,48908,16270,49018,16079,48924,48773,16297,48999,48824,16224
16355,48883,48564,16337,48978,48838,16262,49073,48966,16324,49044,15969,48798,48822,16315,49028,48820,16172
16244,48716,48522,16220,48832,48702,16141,48929,48827,16182,48870,15855,48697,15664,16173,48910,48847,16115
48545,48593,16002,48658,48604,16013,48663,15610,16058,48744,16047,16010,48634,16140,48773,48232,48893,15961
48936,15863,15997,48932,15970,16078,48854,16128,16162,48932,16197,15948,14848,16165,48946,15960,48887,15828
48947,48642,48907,48990,16016,48843,48984,16217,15693,49041,16178,48773,48660,16075,48910,48793,48850,16224
16527,49087,15978,16517,49256,49019,48781,49040,49211,49085,49177,48787,49028,49148,16457,49145,16087,16209
16254,48826,48480,16229,48938,48699,16081,49028,48818,16184,48976,16116,48973,15702,16265,48910,48869,16203
16233,48786,48617,16213,48840,48762,16088,48922,48808,16175,48924,16019,48905,48156,16233,48933,48785,16203
