acc_x_1,acc_y_1,acc_z_1,acc_x_2,acc_y_2,acc_z_2,acc_x_3,acc_y_3,acc_z_3,acc_x_4,acc_y_4,acc_z_4,acc_x_5,acc_y_5,acc_z_5,acc_x_6,acc_y_6,acc_z_6
16151,48899,16199,16050,48925,16212,15924,48942,16198,47952,48900,16228,48984,48762,16061,48717,15620,16257
16146,48889,16195,16036,48925,16216,15883,48942,16201,48372,48891,16218,48971,48732,16034,48713,15574,16250
16136,48869,16199,16029,48912,16216,15922,48928,16193,15626,48873,16209,48968,48759,16042,48655,15719,16260
16145,48851,16190,16059,48908,16205,15989,48933,16186,15546,48899,16216,48977,48733,16038,48635,15758,16256
16151,48815,16177,16087,48898,16195,16008,48941,16185,15689,48914,16218,48997,48796,16086,48430,15824,16253
16099,48890,16198,15964,48923,16215,15736,48949,16198,48644,48922,16224,49000,48717,16050,48638,15832,16248
16094,48903,16187,15977,48928,16202,15670,48946,16177,48643,48910,16196,48987,48703,16050,48722,15885,16249
16149,48903,16194,16080,48939,16205,15948,48981,16182,15494,48954,16212,48994,48793,16099,48677,15910,16247
16202,48906,16185,16134,48945,16200,16034,48989,16169,15788,48962,16209,48972,48765,16098,48750,15894,16240
16135,48878,16163,16041,48906,16178,15966,48940,16159,15580,48919,16192,48970,48664,16081,48722,15820,16244
16125,48849,16162,16025,48899,16171,15924,48934,16150,48485,48910,16166,48977,48692,16027,48598,15867,16239
16057,48919,16191,15873,48944,16198,48511,48970,16171,48767,48954,16185,49015,48743,15996,48453,15985,16254
16030,48928,16197,15724,48945,16196,48657,48956,16163,48791,48938,16169,49002,48772,15949,15280,16016,16252
16033,48910,16178,15832,48932,16182,48550,48955,16159,48762,48935,16167,48999,48789,16000,15584,16022,16249
16058,48918,16187,15878,48942,16192,48441,48961,16163,48720,48941,16174,48989,48776,15997,48324,16018,16245
16027,48923,16190,15784,48941,16191,48609,48961,16163,48775,48938,16165,48995,48793,15966,15506,16027,16249
16032,48921,16194,15767,48933,16189,48596,48944,16157,48776,48921,16160,48985,48738,15899,48048,16012,16251
16073,48905,16169,15949,48926,16173,15574,48948,16150,48588,48929,16170,48983,48774,16030,48537,16023,16249
16099,48912,16165,15985,48942,16179,15667,48975,16159,48616,48955,16184,49006,48785,16071,48525,16035,16242
16046,48923,16191,15807,48952,16204,48576,48978,16183,48775,48957,16196,49017,48752,15997,47984,16015,16246
