acc_x_1,acc_y_1,acc_z_1,acc_x_2,acc_y_2,acc_z_2,acc_x_3,acc_y_3,acc_z_3,acc_x_4,acc_y_4,acc_z_4,acc_x_5,acc_y_5,acc_z_5,acc_x_6,acc_y_6,acc_z_6
16170,48897,15975,16138,48957,48352,15931,49003,48806,16085,49000,16019,48948,48856,16170,48844,48747,16220
16242,48987,16038,16177,49015,48490,15974,49030,48836,16131,49033,16063,48913,48910,16221,48903,48705,16219
16233,48947,15834,16185,48982,48706,16025,49012,48868,16163,49011,16006,48820,48815,16172,48934,48748,16188
16227,48913,48555,16191,48944,48789,16096,48975,48889,16197,48967,15741,48770,48850,16213,48957,48770,16176
16245,48920,15420,16209,48976,48733,16079,49007,48901,16170,48996,15754,48795,48855,16217,48940,48791,16151
16195,48900,48390,16159,48935,48766,16058,48936,48899,16152,48949,48468,48733,48832,16198,48913,48725,16136
16248,48871,48400,16204,48946,48767,16111,49017,48926,16207,49020,15747,48899,48760,16162,48938,48797,16148
16313,48388,48769,16331,48763,48921,16210,48841,48990,16238,48929,48906,48828,15790,48276,48957,48765,16137
16256,48951,15713,16196,49012,48754,15894,48995,48943,16169,49022,15388,49008,48902,16159,48914,48655,16207
16291,48983,16028,16255,49063,48746,15949,49079,49022,16238,49090,15364,49030,48927,16160,48795,48588,16064
16066,49050,15947,16083,49042,48722,16128,48923,48917,16220,48910,48748,48925,48282,15872,48921,48729,16194
48526,15436,48947,48971,49083,15771,49072,49053,48778,48949,49048,16165,48680,49157,16412,48934,48652,16241
16212,48918,48708,16188,48937,48824,16076,48956,48898,16167,48945,48539,48663,48799,16233,48960,48684,16168
16260,48921,48687,16240,48947,48870,16162,48988,48920,16237,48963,48616,48733,48619,16214,48981,48761,16103
16318,48863,48681,16276,48943,48896,16183,48899,48977,16229,48910,48854,15774,48872,16239,48989,48781,16113
16176,48945,48783,49232,49286,16157,49040,49059,16058,16323,49003,16193,48828,48910,16368,48992,48745,16187
16198,15940,48880,16233,15650,48807,16183,48751,48925,16209,48769,48912,48662,48828,16233,48960,48606,16089
16327,15900,48872,16271,16055,48960,16234,16095,48941,16189,15412,48961,48653,48767,16147,48999,48773,16003
16451,16312,48991,16428,16385,49042,16370,16222,48972,16318,16040,49007,16113,48811,16141,48912,48875,15938
